"id";"Kategorie";"Aufgabe";"Webflow";"Beispiel";"Status"
"tech-title";"Technisches SEO";"Titel setzen (ca. 60 Zeichen)";"Webflow → Page settings → SEO → Title";"Kauwerk – Dentaltechnik in Visp";"offen"
"tech-description";"Technisches SEO";"Meta Description schreiben (max. 155 Zeichen)";"Webflow → Page settings → SEO → Meta description";"Kauwerk in Visp – Massgeschneiderte Zahntechnik für dein Lächeln";"offen"
"tech-og";"Technisches SEO";"Open Graph Bild hinterlegen (1200 × 630)";"Webflow → Page settings → Open Graph settings → Image";"/images/visp-dentaltechnik.jpg";"offen"
"tech-canonical";"Technisches SEO";"Canonical URL prüfen";"Webflow → Page settings → SEO → Canonical URL";"https://kauwerk.ch/visp";"offen"
"tech-sitemap";"Technisches SEO";"Sitemap aktivieren";"Webflow → Project settings → SEO → Auto-generate sitemap";"https://kauwerk.ch/sitemap.xml";"offen"
"tech-redirects";"Technisches SEO";"301 Weiterleitungen einrichten";"Webflow → Project settings → Publishing → 301 redirects";"/zahnlabor → https://kauwerk.ch/visp";"offen"
"content-h1";"Inhalt";"Einzigartige H1 schreiben";"Webflow → Designer → Add panel → Heading H1";"Zahnersatz aus Visp – wir bauen dein Lächeln auf";"offen"
"content-intro";"Inhalt";"Einleitung nennt Angebot und Ort";"Webflow → Designer → Rich text → Erster Absatz";"Wir fertigen Kronen in Visp innerhalb von 3 Tagen";"offen"
"content-cta";"Inhalt";"Call-to-Action in Du-Form";"Webflow → Designer → Button settings";"Jetzt Beratung in Visp buchen";"offen"
"content-alt";"Inhalt";"Alt-Text beschreibt Bild";"Webflow → Designer → Asset panel → Image → Alt text";"Zahntechnikerin zeigt fertige Schiene in Visp";"offen"
"trust-contact";"Vertrauen";"Kontaktblock klar zeigen";"Webflow → Designer → Symbol → Kontaktblock";"Ruf uns an unter 027 000 00 00 in Visp";"offen"
"trust-legal";"Vertrauen";"Impressum und Datenschutz verlinken";"Webflow → Designer → Footer → Link settings";"/impressum → Interne Seite Impressum";"offen"
"trust-reviews";"Vertrauen";"Bewertungen integrieren";"Webflow → CMS → Testimonials Collection";"5 Sterne von Zahnarztpraxis Sion";"offen"
"links-internal";"Links";"Interne Links zu Service-Seiten setzen";"Webflow → Designer → Rich text → Link";"Verlinke auf /implantate-visp";"offen"
"links-footer";"Links";"Footer-Navigation prüfen";"Webflow → Designer → Footer nav menu → Link settings";"Füge /preise hinzu";"offen"
"links-external";"Links";"Werbelinks mit rel=\"nofollow\" markieren";"Webflow → Designer → Link settings → Rel attribute";"Sponsoring-Link auf dentalmesse.ch als nofollow";"offen"
"local-address";"Lokal & Mehrsprachig (CH)";"Adresse mit PLZ pflegen";"Webflow → Designer → Footer → Address block";"Bahnhofstrasse 10, 3930 Visp";"offen"
"local-phone";"Lokal & Mehrsprachig (CH)";"Telefon im CH-Format angeben";"Webflow → Designer → Contact form → Link settings";"+41 27 000 00 00";"offen"
"local-language-switch";"Lokal & Mehrsprachig (CH)";"Sprachumschalter verlinken";"Webflow → Designer → Navbar → Language switcher";"Button fr-CH zeigt auf /fr/visp-labo";"offen"
"local-hreflang";"Lokal & Mehrsprachig (CH)";"hreflang Snippet einfügen";"Webflow → Page settings → Custom code → Head";"Nutze Snippet hreflang de-fr-it-CH";"offen"
"geo-faq";"GEO/LLM";"FAQ mit klaren Fragen pflegen";"Webflow → CMS → FAQ Collection";"«Wie schnell erhalte ich meinen Zahnersatz in Visp?»";"offen"
"geo-robots-ai";"GEO/LLM";"Robots für AI-Crawler ergänzen";"Webflow → Project settings → SEO → robots.txt";"Ergänze Snippet robots-ai.txt";"offen"
"maintenance-forms";"Wartung";"Formulare testen";"Webflow → Project settings → Forms → Send test";"Testmail an hello@kauwerk.ch";"offen"
"maintenance-export";"Wartung";"Checkliste exportieren und sichern";"Webflow → Custom code → Footer → Notiz";"Lade CSV herunter und sichere im Team-Drive";"offen"
